Country_Name,Country_Code,Quarter,Goods Balance,Services Balance,Primary Income,Secondary Income,Current Account,Capital Account,Direct Investment,Portfolio Investment,Financial Derivatives,Other Investment,Financial Account,Net Errors & Omissions,Net lending/borrowing,Reserve Assets
Argentina,ARG,2009Q2,6799.439,-350.034319718339,-2419.55557299339,267.975981005273,4297.82508829355,0.6,-581.000710879901,-29.5965457104192,3.1,4379.98261577663,3073.7653591863,-1224.65972910724,4298.42508829355,-698.657313538936
Argentina,ARG,2009Q3,3764.488,-722.801637866831,-2528.81222180185,191.847756565787,704.721896897103,54.7167318916649,-330.661602219941,817.147247557825,20.4,-1761.26173509422,556.713910243671,-202.724718545097,759.4386287887679,1799.157807222248
Argentina,ARG,2009Q4,4082.223,-288.387188378718,-2997.82456274477,264.865895501645,1060.87714437816,2.5991993196065,-1064.57443352826,539.1976282873,1225.7,1351.67322845762,2018.71642321666,955.240079518903,1063.4763436977664,-33.71131294578416
Argentina,ARG,2010Q1,2520.98035765,-570.607920341858,-3722.87549982267,139.983225437539,-1632.51983707698,17.275787489199,-3159.37029089772,-211.473092031758,23.4,1989.64892810145,-1661.39445482803,-46.1504052402456,-1615.2440495877809,-303.5438154008661
Argentina,ARG,2010Q2,5936.73909555,-564.182635874758,-3486.39476710186,215.221778620453,2101.38347119383,3.9,-1898.73739831721,-1082.57856257289,84.0250020335049,1730.36931165298,937.488352796391,-1167.79511839744,2105.28347119383,2104.352029109629
Argentina,ARG,2010Q3,3532.1404606,-533.911338392294,-3649.64685277466,122.182175200082,-529.235555366864,54.735,-2906.16744392378,-309.074953912127,-798.7,1918.55933168632,-816.583066149596,-342.082510782732,-474.500555366864,1278.508415084218
Argentina,ARG,2010Q4,2157.24938469,-134.886755302784,-3688.61608423777,103.629504849887,-1562.62395000067,2.56709724756904,-2403.68281290395,-1659.06700790035,-20.9829688881965,744.378670448889,-2261.61411924361,-701.557266490502,-1560.0568527531009,1077.416068686156
Argentina,ARG,2011Q1,2082.90228318,-851.719894852195,-3497.99128291491,24.6811318160188,-2242.12776277108,16.4506,-3213.7545610247,-695.364109016023,35.9009022059723,3156.39800461612,-1876.30976321863,349.367399552442,-2225.67716277108,-1159.778175291082
Argentina,ARG,2011Q2,4899.55232564,-781.815399596358,-3766.26911820558,157.520410844401,508.988218682458,1.15,-631.506566316237,-84.9487582620553,161.256137739978,497.614018520785,168.134831682473,-342.003386999985,510.138218682458,225.1857823054806
Argentina,ARG,2011Q3,2809.74301034,-882.780148191648,-3654.53858075814,211.465858153944,-1516.10986045585,44.622,-1390.31127575062,-142.721866306438,32.9471578232777,1176.56133629322,-3477.04464794056,-2005.55678748471,-1471.4878604558498,-3152.686016418046
Argentina,ARG,2011Q4,2558.73346763,-636.172594436263,-4154.26811797249,140.775456928025,-2090.93178785073,0.501246223564955,-4116.35854158994,779.800577308176,2126.07720252451,3164.11736601145,-66.983395745804,2023.44714588136,-2090.430541627165,-2019.556444648472
Argentina,ARG,2012Q1,3047.27200551,-1223.25851960607,-3756.49834392929,150.015475298524,-1782.46938272684,0.850000000000001,-4153.61051060202,-1906.2137926231,9.051,3376.18482908301,-2004.78847414211,-223.169091415274,-1781.61938272684,670.0136002884911
Argentina,ARG,2012Q2,4601.25109001001,-1028.77341972023,-3271.46285802489,197.893560870929,498.908373135819,22.1902995688196,-3611.94776919585,425.710582591144,0.588,4143.35303912095,258.873852516243,-262.224820188395,521.0986727046386,-698.7562428498416
Argentina,ARG,2012Q3,4244.94298829001,-1016.30230748321,-3329.34441346649,167.061149372726,66.3574167130282,28.495,-3106.11956191147,1401.36105002109,26.028,2885.7750357337,-519.445476156688,-614.297892869716,94.8524167130282,-1726.209381977566
Argentina,ARG,2012Q4,3147.44670273,-828.890477162337,-3396.53501163234,157.142018509711,-920.836767554967,-3.651255,-3397.40649705844,229.060485583066,2872.51446603051,1322.25602944924,-522.775515995634,401.712506559333,-924.488022554967,-1549.170991035846
Argentina,ARG,2013Q1,1011.61183509001,-1730.27634765586,-3342.83109247128,175.669419577824,-3885.82618545931,1.01575621843786,-1941.4933847272,-278.484283305519,-12.2392769807118,148.011979018129,-4667.6349659953,-782.824536754432,-3884.8104292408725,-2577.215325380994
Argentina,ARG,2013Q2,3779.55849298993,-1276.94532892786,-3280.78099706065,452.422154768643,-325.745678229941,0.2678375,-2920.37691265045,945.257380361018,-14.421741732564,3965.78139239895,-734.449881623045,-408.972040893104,-325.477840729941,-2716.79287291194
Argentina,ARG,2013Q3,1363.03014046997,-1353.91551537186,-3262.52187486657,231.30265286095,-3022.10459690751,32.6452675,-2512.58124788678,189.688974942494,1.57355806904797,667.639828800013,-4238.57888607523,-1249.11955666772,-2989.45932940751,-2584.945787849927
Argentina,ARG,2013Q4,-1518.96522763998,-967.778923383182,-3278.69361044534,-125.259563798033,-5890.69732526653,-0.5159875,-1557.23745416722,-1289.04799229205,-7.28921089979385,274.081899799387,-6524.23275755968,-633.019444793153,-5891.21331276653,-3944.924366980937
Argentina,ARG,2014Q1,-2016.89269814,-1550.79007797739,-2782.57018302287,302.698304422928,-6047.55465471733,1.728013,-38.7459372884639,-1163.7647699843,35.7638988731597,397.329696389172,-4502.53711201043,1543.28952970689,-6045.82664171733,-3733.184815648647
Argentina,ARG,2014Q2,4303.17650188,-1195.2917750873,-2984.59774162332,523.04884138855,646.335826557937,16.0170065923132,1743.90446940769,4127.19346667318,-163.084905371758,-7460.4096342644,431.613396444709,-230.739436705541,662.3528331502503,2184.108281258802
Argentina,ARG,2014Q3,1849.57759449,-1120.54936035933,-2992.04038124909,423.18612653354,-1839.82602058489,39.6978083297255,-2054.93729499552,-445.124824118168,-34.4640220985426,1350.35345748314,-2166.98268372909,-366.85447147393,-1800.1282122551645,-982.6070656625697
Argentina,ARG,2014Q4,1405.60841467,-774.660939977224,-2854.63917531193,285.710282487921,-1937.98141813124,-0.645722788303721,-2795.01534598352,-178.873479468925,-6.42187216505386,-3829.48520771088,-3082.76590532838,-1144.13876440883,-1938.6271409195438,3726.2034358465
Argentina,ARG,2015Q1,-865.750966080001,-1535.79066348573,-3223.06142489592,80.7413226038053,-5543.86173185784,9.55277,-3273.23263508599,-1184.69304457103,-12.2495902152215,-1480.60271873534,-5611.67798860758,-77.3690267497377,-5534.30896185784,339.975011163368
Argentina,ARG,2015Q2,1462.57415184,-1246.74501431644,-3088.22180539291,403.331157402339,-2469.06151046702,2.71041818889612,-3175.34099752301,-1308.4434980764,-5.41784054383772,-308.857214102431,-2497.96955024568,-31.6184579675582,-2466.351092278124,2300.080687144499
Argentina,ARG,2015Q3,-280.831808609999,-1543.56484700969,-2886.26320072738,202.73233173525,-4507.92752461182,38.5246928349827,-2449.92882729445,-414.19115333074,-0.593547051349476,-2312.60244323372,-5404.4134456958,-935.010613918962,-4469.402831776838,-227.0977978805513
Argentina,ARG,2015Q4,-1101.16776977,-1488.94416843242,-2907.0521475882,396.02968451733,-5101.13440127329,1.14131874458687,-1985.25832402834,2470.08888162796,-6.73035325592534,1856.1740834669,-4983.78823740386,116.204845124837,-5099.993082528703,-7318.060821448283
Argentina,ARG,2016Q1,176.146031199998,-2498.46491989724,-2894.77577480493,320.58403100946,-4896.5106324927,83.3685217860779,-1851.93334945286,-4678.07692947924,31.7710951878252,-1778.04418540331,-4731.28336914759,81.85874155904,-4813.142110706623,3544.985667190918
Argentina,ARG,2016Q2,1677.39627686,-1926.68333691332,-2986.86884107621,305.56461838809,-2930.59128274145,32.3255254147369,406.814663685974,-10691.4908319915,366.070462374666,5741.09927928343,-3103.70642664743,-205.440669320724,-2898.265757326713,1073.815158440123
Argentina,ARG,2016Q3,1826.47574168,-2225.0634244791,-2862.6026596624,294.070020245685,-2967.12032221582,109.379073405427,-702.901311059833,-7707.49959431554,-31.75,4355.63384528889,-4655.9290144214,-1798.18776561101,-2857.7412488103932,-569.0000308764257
Argentina,ARG,2016Q4,736.138891860004,-1801.44350424614,-3447.96346524445,202.703790520443,-4310.56428711014,140.741464131217,674.386589800825,-12178.2264992365,-144.046519212159,-87.0983957080489,-1473.13737447462,2696.6854485043,-4169.822822978923,10274.90900595631
Argentina,ARG,2017Q1,-620.283226139902,-3060.84150275438,-3777.92928623007,224.385176150762,-7234.66883897359,44.8535498426022,-3173.77641419071,-14042.87591762,-140.0,194.078028797332,-6224.36104117757,965.454247953414,-7189.815289130988,10934.37088207329
Argentina,ARG,2017Q2,-712.225826470099,-2068.68485863363,-4033.1355644407,208.735656043548,-6605.31059350088,43.5037170004316,-2020.82760505503,-3760.1830873991,6.9044,1607.33135403549,-6971.15798887182,-409.351112371367,-6561.806876500448,-2814.659100472313
Argentina,ARG,2017Q3,-1679.38193896,-2549.23692898353,-3843.01391356166,-77.0720733240714,-8148.70485482926,79.1783464237527,-3042.89511285362,-7208.31285249838,11.09,-523.176244250079,-8878.07482854497,-808.548320139469,-8069.526508405507,1879.410811066485
Argentina,ARG,2017Q4,-2435.1721159701,-2016.67530185282,-4726.2049413032,15.3848956674592,-9162.66746345865,5.50966912901984,-2123.73211216059,-10910.3676341054,25.78,-727.930257785113,-9199.59407241683,-42.4362780871961,-9157.15779432963,4532.955866371601
Argentina,ARG,2018Q1,-1665.25126064,-3396.70245322462,-4490.37197808308,155.923944879307,-9396.40174706838,23.9552895322502,-2470.52557401364,-12953.3803578827,-26.6351511044001,-249.585893317678,-9547.09576491623,-174.649307380101,-9372.446457536129,6143.888158093725
Argentina,ARG,2018Q2,-1696.42855688,-2536.80278198906,-4653.57143004043,452.415219935483,-8434.38754897401,20.9950396322502,-2210.53813907433,1874.06974309934,-4.33992840161848,-9401.61181034855,-9001.55351738603,-588.161008044272,-8413.392509341758,-14270.98440290988
Argentina,ARG,2018Q3,-745.755691700098,-1952.98564016682,-4897.81250623349,237.834227003565,-7358.71961109684,47.2861884222502,-2655.92305025862,1902.42297592843,30.437550125345,5157.07443774395,-7852.6302631604,-541.196840485812,-7311.43342267459,-12285.38022480565
Argentina,ARG,2018Q4,3364.20783103,-1048.7769106641,-4608.47441068189,398.9459463982,-1894.09754391778,18.8390004522502,-2653.80148270199,2252.96231289322,-31.5713596266062,-17871.7678347519,-1634.54123937629,240.717304089239,-1875.2585434655298,3347.68460535502
Argentina,ARG,2019Q1,2549.7567436201,-1710.01388230632,-4557.98294043967,284.564174406245,-3433.67590471965,37.3503225511039,-1968.56102855577,362.190142130131,-23.8018783345206,-1963.79290654107,-3639.07674709064,-242.751164922101,-3396.325582168546,-35.59593479577371
Argentina,ARG,2019Q2,4222.88573371,-1291.16311543983,-4839.9033394633,96.2857677564103,-1811.89495343672,139.175550717766,-380.712246064654,6026.48192396303,-44.8981211763338,-6200.257435116,-2372.77135987174,-700.051957152791,-1672.719402718954,-12602.04647244632
Argentina,ARG,2019Q3,4471.3585540001,-1285.2363921774,-4218.85963387005,224.339822637017,-808.397649410337,79.9501510477663,-1231.37446967855,-110.599153138699,33.3530325249098,14593.5231534535,-1538.16157092786,-809.714072565294,-728.4474983625706,-20199.84709204898
